"Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","first.two.char","first.three.char","year"
"NCB42",11.8,"Low Fat",0.0085980247230045,"Health and Hygiene",115.3492,"OUT018","Medium","Tier 3","Other Supermarket",1621.8888,"NC","NCB","4"
"FDP49",9,"Regular",0.0691984617371306,"Breakfast",54.3614,"OUT049","Medium","Tier 1","Supermarket Type1",718.3982,"FD","FDP","14"
"DRI11",8.26,"Low Fat",0.0342240941490744,"Hard Drinks",113.2834,"OUT027","Medium","Tier 3","Other Supermarket",2303.668,"DR","DRI","28"
"FDU02",13.35,"Low Fat",0.102479850402637,"Dairy",230.5352,"OUT035","Small","Tier 2","Supermarket Type1",2748.4224,"FD","FDU","9"
"FDN22",18.85,"Regular",0.138166292207647,"Snack Foods",250.8724,"OUT013","High","Tier 3","Supermarket Type1",3775.086,"FD","FDN","26"
"FDW12",8.315,"Regular",0.0353858738924552,"Baking Goods",144.5444,"OUT027","Medium","Tier 3","Other Supermarket",4064.0432,"FD","FDW","28"
"NCB30",14.6,"Low Fat",0.0256950576097647,"Household",196.5084,"OUT035","Small","Tier 2","Supermarket Type1",1587.2672,"NC","NCB","9"
"FDC37",15.5,"Low Fat",0.0589443528228921,"Baking Goods",107.6938,"OUT019","Small","Tier 1","Grocery Store",214.3876,"FD","FDC","28"
"FDR28",13.85,"Regular",0.0258933102532081,"Frozen Foods",165.021,"OUT046","Small","Tier 1","Supermarket Type1",4078.025,"FD","FDR","16"
"NCD06",13,"Low Fat",0.099913646032728,"Household",45.906,"OUT017","Small","Tier 2","Supermarket Type1",838.908,"NC","NCD","6"
"FDV10",7.645,"Regular",0.0666854529557754,"Snack Foods",42.3112,"OUT035","Small","Tier 2","Supermarket Type1",1065.28,"FD","FDV","9"
"DRJ59",11.65,"Low Fat",0.0193527724813938,"Hard Drinks",39.1164,"OUT013","High","Tier 3","Supermarket Type1",308.9312,"DR","DRJ","26"
"FDE51",5.925,"Regular",0.165255861739735,"Dairy",45.5086,"OUT010","Small","Tier 3","Grocery Store",178.4344,"FD","FDE","15"
"FDC14",14.5,"Regular",0.0739626364746943,"Canned",43.6454,"OUT019","Small","Tier 1","Grocery Store",125.8362,"FD","FDC","28"
"FDV38",19.25,"Low Fat",0.174346323626543,"Dairy",55.7956,"OUT010","Small","Tier 3","Grocery Store",163.7868,"FD","FDV","15"
"NCS17",18.6,"Low Fat",0.0808479310791581,"Health and Hygiene",96.4436,"OUT018","Medium","Tier 3","Other Supermarket",2741.7644,"NC","NCS","4"
"FDP33",18.7,"Low Fat",0.089431577501546,"Snack Foods",256.6672,"OUT018","Medium","Tier 3","Other Supermarket",3068.0064,"FD","FDP","4"
"FDO23",17.85,"Low Fat",0.146549962723084,"Breads",93.1436,"OUT045","Small","Tier 2","Supermarket Type1",2174.5028,"FD","FDO","11"
"DRH01",17.5,"Low Fat",0.0978920265795177,"Soft Drinks",174.8738,"OUT046","Small","Tier 1","Supermarket Type1",2085.2856,"DR","DRH","16"
"NCX29",10,"Low Fat",0.0892938284392146,"Health and Hygiene",146.7102,"OUT049","Medium","Tier 1","Supermarket Type1",3791.0652,"NC","NCX","14"
"FDV20",20.2,"Regular",0.0594881936478648,"Fruits and Vegetables",128.0678,"OUT027","Medium","Tier 3","Other Supermarket",2797.6916,"FD","FDV","28"
"DRZ11",8.85,"Regular",0.113149867163017,"Soft Drinks",122.5388,"OUT018","Medium","Tier 3","Other Supermarket",1609.9044,"DR","DRZ","4"
"FDX10",6.385,"Regular",0.123062593965951,"Snack Foods",36.9874,"OUT027","Medium","Tier 3","Other Supermarket",388.1614,"FD","FDX","28"
"FDB34",15.25,"Low Fat",0.0264704445485915,"Snack Foods",87.6198,"OUT027","Medium","Tier 3","Other Supermarket",2180.495,"FD","FDB","28"
"FDU02",13.35,"Low Fat",0.102498936731953,"Dairy",230.6352,"OUT046","Small","Tier 1","Supermarket Type1",3435.528,"FD","FDU","16"
"FDK43",9.8,"Low Fat",0.0268137752986075,"Meat",126.002,"OUT013","High","Tier 3","Supermarket Type1",2150.534,"FD","FDK","26"
"FDA46",13.6,"Low Fat",0.11782189931464,"Snack Foods",192.9136,"OUT049","Medium","Tier 1","Supermarket Type1",2527.3768,"FD","FDA","14"
"FDC02",21.35,"Low Fat",0.0691186975702682,"Canned",259.9278,"OUT018","Medium","Tier 3","Other Supermarket",6768.5228,"FD","FDC","4"
"FDL50",12.15,"Regular",0.0422705291041427,"Canned",126.5046,"OUT013","High","Tier 3","Supermarket Type1",373.5138,"FD","FDL","26"
"FDM39",6.42,"Low Fat",0.0915993040447055,"Dairy",178.1002,"OUT010","Small","Tier 3","Grocery Store",358.2004,"FD","FDM","15"
"NCP05",19.6,"Low Fat",0.0253077569501151,"Health and Hygiene",153.3024,"OUT045","Small","Tier 2","Supermarket Type1",2428.8384,"NC","NCP","11"
"FDV49",10,"Low Fat",0.0258811283180665,"Canned",265.2226,"OUT045","Small","Tier 2","Supermarket Type1",5815.0972,"FD","FDV","11"
"FDL12",15.85,"Regular",0.121617809590564,"Baking Goods",60.622,"OUT046","Small","Tier 1","Supermarket Type1",2576.646,"FD","FDL","16"
"FDS02",10.195,"Regular",0.261550938757957,"Dairy",196.8794,"OUT019","Small","Tier 1","Grocery Store",780.3176,"FD","FDS","28"
"NCL17",7.39,"Low Fat",0.067771402632021,"Health and Hygiene",143.8812,"OUT046","Small","Tier 1","Supermarket Type1",3134.5864,"NC","NCL","16"
"FDM40",10.195,"Low Fat",0.15977611687909,"Frozen Foods",141.5154,"OUT013","High","Tier 3","Supermarket Type1",850.8924,"FD","FDM","26"
"FDR13",9.895,"Regular",0.0286919512591684,"Canned",117.0492,"OUT013","High","Tier 3","Supermarket Type1",810.9444,"FD","FDR","26"
"FDA43",10.895,"Low Fat",0.065058864520708,"Fruits and Vegetables",196.3794,"OUT017","Small","Tier 2","Supermarket Type1",3121.2704,"FD","FDA","6"
"NCP18",12.15,"Low Fat",0.0287676554077122,"Household",151.4708,"OUT017","Small","Tier 2","Supermarket Type1",4815.0656,"NC","NCP","6"
"FDK21",7.905,"Low Fat",0.0100554132744164,"Snack Foods",249.0408,"OUT018","Medium","Tier 3","Other Supermarket",6258.52,"FD","FDK","4"
"NCX54",9.195,"Low Fat",0.0481602247298903,"Household",106.1622,"OUT045","Small","Tier 2","Supermarket Type1",2117.244,"NC","NCX","11"
"DRK35",8.365,"Low Fat",0.0719603659847361,"Hard Drinks",38.0506,"OUT049","Medium","Tier 1","Supermarket Type1",796.9626,"DR","DRK","14"
"FDY21",15.1,"Low Fat",0.173460036279175,"Snack Foods",194.511,"OUT046","Small","Tier 1","Supermarket Type1",4910.275,"FD","FDY","16"
"FDI26",5.94,"Low Fat",0.06255450279527,"Canned",180.0344,"OUT019","Small","Tier 1","Grocery Store",892.172,"FD","FDI","28"
"FDM20",10,"Low Fat",0.0387640014858667,"Fruits and Vegetables",246.9144,"OUT018","Medium","Tier 3","Other Supermarket",3185.1872,"FD","FDM","4"
"FDV27",7.97,"Regular",0.040073533012578,"Meat",87.3514,"OUT045","Small","Tier 2","Supermarket Type1",1062.6168,"FD","FDV","11"
"FDF09",6.215,"Low Fat",0.0120852758327879,"Fruits and Vegetables",38.2848,"OUT027","Medium","Tier 3","Other Supermarket",484.7024,"FD","FDF","28"
"FDY40",15.5,"Regular",0.153908485965471,"Frozen Foods",51.0692,"OUT019","Small","Tier 1","Grocery Store",147.8076,"FD","FDY","28"
"FDY45",17.5,"Low Fat",0.0260051942649924,"Snack Foods",255.8356,"OUT027","Medium","Tier 3","Other Supermarket",2543.356,"FD","FDY","28"
"FDC46",17.7,"Low Fat",0.199646124723724,"Snack Foods",185.4266,"OUT010","Small","Tier 3","Grocery Store",184.4266,"FD","FDC","15"
"FDH19",19.35,"Low Fat",0.0330782546422873,"Meat",172.5738,"OUT035","Small","Tier 2","Supermarket Type1",4865.6664,"FD","FDH","9"
"FDZ03",13.65,"Regular",0.0789511873440383,"Dairy",186.024,"OUT045","Small","Tier 2","Supermarket Type1",1118.544,"FD","FDZ","11"
"DRH37",17.6,"Low Fat",0.0417032556983595,"Soft Drinks",164.8526,"OUT045","Small","Tier 2","Supermarket Type1",2302.3364,"DR","DRH","11"
"NCI17",8.645,"Low Fat",0.143405060282664,"Health and Hygiene",95.841,"OUT046","Small","Tier 1","Supermarket Type1",2027.361,"NC","NCI","16"
"FDJ58",15.6,"Regular",0.105283163361365,"Snack Foods",170.1764,"OUT046","Small","Tier 1","Supermarket Type1",3435.528,"FD","FDJ","16"
"FDL12",15.85,"Regular",0.121510407563623,"Baking Goods",59.222,"OUT013","High","Tier 3","Supermarket Type1",599.22,"FD","FDL","26"
"FDH35",18.25,"Low Fat",0.0602990828345625,"Starchy Foods",164.7526,"OUT045","Small","Tier 2","Supermarket Type1",4604.6728,"FD","FDH","11"
"FDG02",7.855,"Low Fat",0.0113278713593034,"Canned",189.6188,"OUT017","Small","Tier 2","Supermarket Type1",2285.0256,"FD","FDG","6"
"NCZ18",7.825,"Low Fat",0.186362765230925,"Household",254.3698,"OUT049","Medium","Tier 1","Supermarket Type1",5580.7356,"NC","NCZ","14"
"FDC29",8.39,"Regular",0.0242026935376357,"Frozen Foods",114.0176,"OUT046","Small","Tier 1","Supermarket Type1",2290.352,"FD","FDC","16"
"FDQ10",12.85,"Low Fat",0.033231817652844,"Snack Foods",172.3422,"OUT049","Medium","Tier 1","Supermarket Type1",1207.0954,"FD","FDQ","14"
"FDN48",13.35,"Low Fat",0.116461461035141,"Baking Goods",89.9804,"OUT019","Small","Tier 1","Grocery Store",643.1628,"FD","FDN","28"
"FDL04",19,"Low Fat",0.112586416677619,"Frozen Foods",104.9622,"OUT017","Small","Tier 2","Supermarket Type1",1587.933,"FD","FDL","6"
"FDV25",5.905,"Low Fat",0.0456904701924946,"Canned",222.5456,"OUT045","Small","Tier 2","Supermarket Type1",5305.0944,"FD","FDV","11"
"FDD58",7.76,"Low Fat",0.0593449647871585,"Snack Foods",101.87,"OUT046","Small","Tier 1","Supermarket Type1",1697.79,"FD","FDD","16"
"FDN04",11.8,"Regular",0.0140853300150822,"Frozen Foods",180.3344,"OUT046","Small","Tier 1","Supermarket Type1",1427.4752,"FD","FDN","16"
"FDV45",16.75,"Low Fat",0.045241329391465,"Snack Foods",187.9556,"OUT018","Medium","Tier 3","Other Supermarket",4693.89,"FD","FDV","4"
"NCL18",18.85,"Low Fat",0.300490305470732,"Household",194.6136,"OUT019","Small","Tier 1","Grocery Store",583.2408,"NC","NCL","28"
"FDR12",12.6,"Regular",0.0313695894612957,"Baking Goods",171.3764,"OUT027","Medium","Tier 3","Other Supermarket",3091.9752,"FD","FDR","28"
"FDG20",15.5,"Regular",0.126432448010634,"Fruits and Vegetables",177.0028,"OUT017","Small","Tier 2","Supermarket Type1",2479.4392,"FD","FDG","6"
"FDZ55",6.055,"Low Fat",0.025400856833519,"Fruits and Vegetables",160.992,"OUT035","Small","Tier 2","Supermarket Type1",2716.464,"FD","FDZ","9"
"FDQ49",20.2,"Regular",0.0390421762458141,"Breakfast",155.963,"OUT027","Medium","Tier 3","Other Supermarket",3285.723,"FD","FDQ","28"
"FDN33",6.305,"Regular",0.123100670778785,"Snack Foods",95.6436,"OUT046","Small","Tier 1","Supermarket Type1",661.8052,"FD","FDN","16"
"FDN27",20.85,"Low Fat",0.0396252003582216,"Meat",117.2808,"OUT049","Medium","Tier 1","Supermarket Type1",1523.3504,"FD","FDN","14"
"FDW20",20.75,"Low Fat",0.0413698053477951,"Fruits and Vegetables",122.173,"OUT010","Small","Tier 3","Grocery Store",369.519,"FD","FDW","15"
"DRG27",8.895,"Low Fat",0.105277284202629,"Dairy",39.9138,"OUT049","Medium","Tier 1","Supermarket Type1",690.4346,"DR","DRG","14"
"DRI25",19.6,"Low Fat",0.0339722312997906,"Soft Drinks",55.1614,"OUT045","Small","Tier 2","Supermarket Type1",1381.535,"DR","DRI","11"
"FDA44",19.7,"Low Fat",0.0532062817754923,"Fruits and Vegetables",57.893,"OUT035","Small","Tier 2","Supermarket Type1",622.523,"FD","FDA","9"
"NCR17",9.8,"Low Fat",0.0243757875619108,"Health and Hygiene",114.5492,"OUT035","Small","Tier 2","Supermarket Type1",1274.3412,"NC","NCR","9"
"FDU04",7.93,"Low Fat",0.00994875575705849,"Frozen Foods",120.0414,"OUT019","Small","Tier 1","Grocery Store",487.3656,"FD","FDU","28"
"FDF41",12.15,"Low Fat",0.131387722207262,"Frozen Foods",246.046,"OUT049","Medium","Tier 1","Supermarket Type1",1231.73,"FD","FDF","14"
"FDB56",8.75,"Regular",0.0746041578735856,"Fruits and Vegetables",187.4556,"OUT035","Small","Tier 2","Supermarket Type1",3755.112,"FD","FDB","9"
"NCP18",12.15,"Low Fat",0.0284484662228055,"Household",149.9708,"OUT027","Medium","Tier 3","Other Supermarket",4363.6532,"NC","NCP","28"
"FDB56",8.75,"Regular",0.0746180521727764,"Fruits and Vegetables",187.8556,"OUT046","Small","Tier 1","Supermarket Type1",1314.2892,"FD","FDB","16"
"FDT28",13.3,"Low Fat",0.0636989021201554,"Frozen Foods",151.0708,"OUT045","Small","Tier 2","Supermarket Type1",1805.6496,"FD","FDT","11"
"FDD10",20.6,"Regular",0.0457796532930941,"Snack Foods",178.5344,"OUT027","Medium","Tier 3","Other Supermarket",2854.9504,"FD","FDD","28"
"FDW57",8.31,"Regular",0.115860715201844,"Snack Foods",179.1028,"OUT049","Medium","Tier 1","Supermarket Type1",3896.2616,"FD","FDW","14"
"DRB48",16.75,"Regular",0.0248284959305191,"Soft Drinks",38.7822,"OUT013","High","Tier 3","Supermarket Type1",667.7974,"DR","DRB","26"
"FDP09",19.75,"Low Fat",0.0340357220837972,"Snack Foods",212.0902,"OUT018","Medium","Tier 3","Other Supermarket",3185.853,"FD","FDP","4"
"FDH14",17.1,"Regular",0.0467614825031053,"Canned",141.1838,"OUT013","High","Tier 3","Supermarket Type1",2247.7408,"FD","FDH","26"
"FDA47",10.5,"Regular",0.11655646853603,"Baking Goods",163.121,"OUT013","High","Tier 3","Supermarket Type1",1794.331,"FD","FDA","26"
"FDG12",6.635,"Regular",0.00632648521031432,"Baking Goods",121.3098,"OUT045","Small","Tier 2","Supermarket Type1",2530.7058,"FD","FDG","11"
"DRE60",9.395,"Low Fat",0.285698470674929,"Soft Drinks",225.372,"OUT019","Small","Tier 1","Grocery Store",679.116,"DR","DRE","28"
"DRK49",14.15,"Low Fat",0.0359075716732115,"Soft Drinks",41.4138,"OUT013","High","Tier 3","Supermarket Type1",812.276,"DR","DRK","26"
"FDD03",13.3,"Low Fat",0.0797964822518598,"Dairy",232.53,"OUT046","Small","Tier 1","Supermarket Type1",699.09,"FD","FDD","16"
"FDS52",8.89,"Low Fat",0.0055069439732766,"Frozen Foods",102.4016,"OUT017","Small","Tier 2","Supermarket Type1",2732.4432,"FD","FDS","6"
"FDW39",6.69,"Regular",0.0661830723024865,"Meat",176.937,"OUT019","Small","Tier 1","Grocery Store",176.437,"FD","FDW","28"
"FDX34",6.195,"Low Fat",0.0716085065700216,"Snack Foods",121.7098,"OUT027","Medium","Tier 3","Other Supermarket",4097.3332,"FD","FDX","28"
"FDV11",9.1,"Regular",0.0817996690823898,"Breads",173.2054,"OUT045","Small","Tier 2","Supermarket Type1",3151.8972,"FD","FDV","11"
"FDD17",7.5,"Low Fat",0.0326786629799988,"Frozen Foods",239.0906,"OUT049","Medium","Tier 1","Supermarket Type1",5942.265,"FD","FDD","14"
"FDZ16",16.85,"Regular",0.160802772822015,"Frozen Foods",192.4478,"OUT017","Small","Tier 2","Supermarket Type1",4843.695,"FD","FDZ","6"
"FDZ46",7.485,"Low Fat",0.0691023765849413,"Snack Foods",109.0228,"OUT035","Small","Tier 2","Supermarket Type1",2542.0244,"FD","FDZ","9"
"DRA12",11.6,"Low Fat",0.0411884471119448,"Soft Drinks",140.3154,"OUT017","Small","Tier 2","Supermarket Type1",2552.6772,"DR","DRA","6"
"FDY58",11.65,"Low Fat",0.0400903959668823,"Snack Foods",227.0694,"OUT018","Medium","Tier 3","Other Supermarket",1141.847,"FD","FDY","4"
"NCF19",13,"Low Fat",0.0353167042262858,"Household",47.5034,"OUT017","Small","Tier 2","Supermarket Type1",680.4476,"NC","NCF","6"
"DRJ13",12.65,"Low Fat",0.0630216245240517,"Soft Drinks",159.0578,"OUT045","Small","Tier 2","Supermarket Type1",2085.9514,"DR","DRJ","11"
"FDB14",20.25,"Regular",0.175973873450672,"Canned",92.512,"OUT010","Small","Tier 3","Grocery Store",186.424,"FD","FDB","15"
"FDJ38",8.6,"Regular",0.04019311980136,"Canned",190.153,"OUT035","Small","Tier 2","Supermarket Type1",3036.048,"FD","FDJ","9"
"FDW11",12.6,"Low Fat",0.0490710502021929,"Breads",62.7194,"OUT017","Small","Tier 2","Supermarket Type1",866.8716,"FD","FDW","6"
"FDL40",17.7,"Low Fat",0.0116095700218807,"Frozen Foods",95.041,"OUT035","Small","Tier 2","Supermarket Type1",868.869,"FD","FDL","9"
"DRI49",14.15,"Low Fat",0.183484798155502,"Soft Drinks",82.4276,"OUT046","Small","Tier 1","Supermarket Type1",1137.1864,"DR","DRI","16"
"FDV38",19.25,"Low Fat",0.102376716371341,"Dairy",52.7956,"OUT017","Small","Tier 2","Supermarket Type1",928.1252,"FD","FDV","6"
"DRG23",8.88,"Low Fat",0.0866939374820927,"Hard Drinks",151.7682,"OUT013","High","Tier 3","Supermarket Type1",762.341,"DR","DRG","26"
"NCP30",20.5,"Low Fat",0.0328371152607934,"Household",40.2822,"OUT045","Small","Tier 2","Supermarket Type1",707.0796,"NC","NCP","11"
"FDY25",12,"Low Fat",0.0337964949170336,"Canned",180.5976,"OUT027","Medium","Tier 3","Other Supermarket",7968.2944,"FD","FDY","28"
"NCH54",13.5,"Low Fat",0.0726602112212375,"Household",160.292,"OUT046","Small","Tier 1","Supermarket Type1",1438.128,"NC","NCH","16"
"NCR53",12.15,"Low Fat",0.144281209626502,"Health and Hygiene",224.4404,"OUT027","Medium","Tier 3","Other Supermarket",6976.2524,"NC","NCR","28"
"FDS52",8.89,"Low Fat",0.00937826011913607,"Frozen Foods",101.7016,"OUT010","Small","Tier 3","Grocery Store",101.2016,"FD","FDS","15"
"FDG02",7.855,"Low Fat",0.0113096341875998,"Canned",188.5188,"OUT018","Medium","Tier 3","Other Supermarket",952.094,"FD","FDG","4"
"NCO26",7.235,"Low Fat",0.0768462059815897,"Household",116.0492,"OUT046","Small","Tier 1","Supermarket Type1",1969.4364,"NC","NCO","16"
"FDH35",18.25,"Low Fat",0.0599330810160681,"Starchy Foods",165.4526,"OUT027","Medium","Tier 3","Other Supermarket",5262.4832,"FD","FDH","28"
"FDB51",6.92,"Low Fat",0.0385343717550598,"Dairy",60.5852,"OUT045","Small","Tier 2","Supermarket Type1",1314.2892,"FD","FDB","11"
"FDX44",9.3,"Low Fat",0.0432210630961685,"Fruits and Vegetables",90.8172,"OUT017","Small","Tier 2","Supermarket Type1",535.3032,"FD","FDX","6"
"NCN07",18.5,"Low Fat",0.0581498447509903,"Others",132.1284,"OUT010","Small","Tier 3","Grocery Store",263.6568,"NC","NCN","15"
"NCC31",8.02,"Low Fat",0.0198643267052464,"Household",154.5972,"OUT035","Small","Tier 2","Supermarket Type1",1402.1748,"NC","NCC","9"
"NCX54",9.195,"Low Fat",0.0483445602030522,"Household",105.1622,"OUT017","Small","Tier 2","Supermarket Type1",1693.7952,"NC","NCX","6"
"NCO55",12.8,"Low Fat",0.0912273231771547,"Others",105.5938,"OUT045","Small","Tier 2","Supermarket Type1",2143.876,"NC","NCO","11"
"NCC30",16.6,"Low Fat",0.0276229085925846,"Household",177.6344,"OUT049","Medium","Tier 1","Supermarket Type1",2676.516,"NC","NCC","14"
"FDI16",14,"Regular",0.136034770975178,"Frozen Foods",53.064,"OUT035","Small","Tier 2","Supermarket Type1",905.488,"FD","FDI","9"
"FDP16",18.6,"Low Fat",0.0393571332783099,"Frozen Foods",246.3802,"OUT049","Medium","Tier 1","Supermarket Type1",7370.406,"FD","FDP","14"
"FDB11",16,"Low Fat",0.0608292411020128,"Starchy Foods",226.8404,"OUT035","Small","Tier 2","Supermarket Type1",6301.1312,"FD","FDB","9"
"NCB06",17.6,"Low Fat",0.0823066516776876,"Health and Hygiene",160.692,"OUT035","Small","Tier 2","Supermarket Type1",1597.92,"NC","NCB","9"
"FDA45",21.25,"Low Fat",0.155331701613011,"Snack Foods",178.237,"OUT035","Small","Tier 2","Supermarket Type1",529.311,"FD","FDA","9"
"NCO26",7.235,"Low Fat",0.0768318961533316,"Household",117.5492,"OUT035","Small","Tier 2","Supermarket Type1",1969.4364,"NC","NCO","9"
"DRJ25",14.6,"Low Fat",0.151459421669824,"Soft Drinks",50.3692,"OUT017","Small","Tier 2","Supermarket Type1",1034.6532,"DR","DRJ","6"
"FDR28",13.85,"Regular",0.0260079462645079,"Frozen Foods",161.521,"OUT018","Medium","Tier 3","Other Supermarket",1794.331,"FD","FDR","4"
"FDI04",13.65,"Regular",0.0732262564825974,"Frozen Foods",197.6426,"OUT018","Medium","Tier 3","Other Supermarket",2768.3964,"FD","FDI","4"
"DRK12",9.5,"Low Fat",0.0416669381474234,"Soft Drinks",31.29,"OUT027","Medium","Tier 3","Other Supermarket",898.83,"DR","DRK","28"
"FDX20",7.365,"Low Fat",0.0425550343797902,"Fruits and Vegetables",226.172,"OUT046","Small","Tier 1","Supermarket Type1",3169.208,"FD","FDX","16"
"NCI18",18.35,"Low Fat",0.0140843891475845,"Household",223.5746,"OUT018","Medium","Tier 3","Other Supermarket",3589.9936,"NC","NCI","4"
"FDB36",5.465,"Regular",0.0485291481280102,"Baking Goods",132.5626,"OUT018","Medium","Tier 3","Other Supermarket",262.3252,"FD","FDB","4"
"FDN13",18.6,"Low Fat",0.152959019052467,"Breakfast",99.8358,"OUT017","Small","Tier 2","Supermarket Type1",1910.1802,"FD","FDN","6"
"DRD24",13.85,"Low Fat",0.0309775034753642,"Soft Drinks",140.9154,"OUT017","Small","Tier 2","Supermarket Type1",1701.7848,"DR","DRD","6"
"FDQ28",14,"Regular",0.060366296793599,"Frozen Foods",154.5656,"OUT013","High","Tier 3","Supermarket Type1",2471.4496,"FD","FDQ","26"
"FDM22",14,"Regular",0.0419155737221466,"Snack Foods",54.764,"OUT013","High","Tier 3","Supermarket Type1",1331.6,"FD","FDM","26"
"FDR07",21.35,"Low Fat",0.0773367263185637,"Fruits and Vegetables",97.0094,"OUT027","Medium","Tier 3","Other Supermarket",1808.9786,"FD","FDR","28"
"FDV25",5.905,"Low Fat",0.0458487358248918,"Canned",222.5456,"OUT018","Medium","Tier 3","Other Supermarket",3315.684,"FD","FDV","4"
"DRF49",7.27,"Low Fat",0.0710692252900577,"Soft Drinks",114.2518,"OUT046","Small","Tier 1","Supermarket Type1",2618.5914,"DR","DRF","16"
"FDW51",6.155,"Regular",0.0946482662929604,"Meat",214.556,"OUT046","Small","Tier 1","Supermarket Type1",2769.728,"FD","FDW","16"
"DRL01",19.5,"Regular",0.0776294610220433,"Soft Drinks",233.4958,"OUT017","Small","Tier 2","Supermarket Type1",5375.0034,"DR","DRL","6"
"FDP25",15.2,"Low Fat",0.0213331443574767,"Canned",216.8824,"OUT017","Small","Tier 2","Supermarket Type1",2838.9712,"FD","FDP","6"
"FDL50",12.15,"Regular",0.0424951990024051,"Canned",125.0046,"OUT018","Medium","Tier 3","Other Supermarket",1743.0644,"FD","FDL","4"
"NCB30",14.6,"Low Fat",0.0255683746936649,"Household",198.8084,"OUT027","Medium","Tier 3","Other Supermarket",5555.4352,"NC","NCB","28"
"FDW11",12.6,"Low Fat",0.0489920463888056,"Breads",61.9194,"OUT018","Medium","Tier 3","Other Supermarket",619.194,"FD","FDW","4"
"NCM43",14.5,"Low Fat",0.0194693569937554,"Others",164.821,"OUT035","Small","Tier 2","Supermarket Type1",2120.573,"NC","NCM","9"
"FDK44",16.6,"Low Fat",0.122951515266964,"Fruits and Vegetables",173.0738,"OUT017","Small","Tier 2","Supermarket Type1",3823.0236,"FD","FDK","6"
"FDM15",11.8,"Regular",0.0573638390012361,"Meat",151.4366,"OUT013","High","Tier 3","Supermarket Type1",1360.2294,"FD","FDM","26"
"FDS31",13.1,"Regular",0.0441479331986946,"Fruits and Vegetables",178.8318,"OUT013","High","Tier 3","Supermarket Type1",3969.4996,"FD","FDS","26"
"FDI32",17.7,"Low Fat",0.298714955506038,"Fruits and Vegetables",115.1834,"OUT010","Small","Tier 3","Grocery Store",345.5502,"FD","FDI","15"
"FDR47",17.85,"Low Fat",0.0896605697400447,"Breads",196.5794,"OUT010","Small","Tier 3","Grocery Store",585.2382,"FD","FDR","15"
"FDB35",12.3,"Regular",0.0647539063572413,"Starchy Foods",92.6804,"OUT045","Small","Tier 2","Supermarket Type1",1010.6844,"FD","FDB","11"
